Date,Open,High,Low,Close,Adj Close,Volume
5/4/2021,0.29705,0.33251,0.252637,0.291337,0.291337,142148066
5/5/2021,0.290487,0.322018,0.264954,0.277636,0.277636,107423085
5/6/2021,0.276969,0.288001,0.238005,0.239983,0.239983,48227937
5/7/2021,0.239543,0.265267,0.220469,0.22678,0.22678,50426256
5/8/2021,0.227438,0.274398,0.225298,0.248042,0.248042,73718982
5/9/2021,0.248218,0.253271,0.212611,0.23271,0.23271,31936721
5/10/2021,0.232219,0.246621,0.186178,0.19002,0.19002,39060457
5/11/2021,0.190529,0.209139,0.177926,0.194512,0.194512,28960198
5/12/2021,0.193796,0.212194,0.147706,0.147706,0.147706,25692903
5/13/2021,0.147596,0.171998,0.134704,0.157201,0.157201,24703575
5/14/2021,0.157517,0.249257,0.157517,0.202068,0.202068,104370834
5/15/2021,0.202294,0.225533,0.165774,0.175523,0.175523,29445003
5/16/2021,0.176668,0.243978,0.176668,0.209093,0.209093,69131028
5/17/2021,0.209896,0.342189,0.194428,0.26885,0.26885,199994386
5/18/2021,0.269546,0.31415,0.233479,0.236546,0.236546,72250368
5/19/2021,0.23586,0.249767,0.123192,0.146446,0.146446,40530108
5/20/2021,0.145643,0.187723,0.122165,0.168203,0.168203,32132994
5/21/2021,0.168312,0.184747,0.111135,0.133851,0.133851,28846772
5/22/2021,0.134248,0.137723,0.096182,0.11539,0.11539,28310439
5/23/2021,0.115778,0.117972,0.062446,0.082433,0.082433,16729067
5/24/2021,0.08184,0.122039,0.076942,0.114361,0.114361,27522039
5/25/2021,0.114666,0.141021,0.101866,0.129637,0.129637,36580392
5/26/2021,0.129651,0.196557,0.121959,0.196557,0.196557,44733441
5/27/2021,0.200348,0.247398,0.154696,0.212717,0.212717,119817174
5/28/2021,0.214404,0.230147,0.135653,0.14899,0.14899,147854349
5/29/2021,0.149372,0.168491,0.124857,0.131152,0.131152,64260314
5/30/2021,0.131651,0.156835,0.126661,0.136196,0.136196,44513400
5/31/2021,0.137008,0.147661,0.128843,0.14607,0.14607,31814365
6/1/2021,0.14578,0.148847,0.132751,0.134403,0.134403,19943151
6/2/2021,0.134816,0.142704,0.130401,0.139062,0.139062,20957901
6/3/2021,0.139079,0.149593,0.137058,0.145075,0.145075,21558098
6/4/2021,0.145185,0.145185,0.125331,0.131859,0.131859,18659818
6/5/2021,0.131741,0.13815,0.125538,0.129571,0.129571,14224287
6/6/2021,0.129346,0.133345,0.127652,0.130915,0.130915,9246109
6/7/2021,0.130915,0.137871,0.120593,0.122001,0.122001,10178767
6/8/2021,0.121608,0.124069,0.098169,0.114542,0.114542,19052173
6/9/2021,0.114341,0.142514,0.105835,0.134179,0.134179,27406621
6/10/2021,0.134679,0.137582,0.11942,0.1236,0.1236,15755570
6/11/2021,0.123197,0.164347,0.119307,0.138564,0.138564,52117601
6/12/2021,0.138871,0.142159,0.122147,0.127145,0.127145,22637615
6/13/2021,0.126945,0.144629,0.125737,0.139059,0.139059,16880286
6/14/2021,0.138367,0.148775,0.136857,0.147317,0.147317,18008036
6/15/2021,0.140766,0.146178,0.137044,0.142266,0.142266,11643488
6/16/2021,0.140069,0.141961,0.129359,0.131327,0.131327,8073111
6/17/2021,0.131512,0.137854,0.128283,0.134603,0.134603,8572028
6/18/2021,0.133909,0.135448,0.121829,0.127623,0.127623,7024054
6/19/2021,0.127828,0.133614,0.123726,0.130516,0.130516,6497481
6/20/2021,0.130497,0.138916,0.122308,0.133426,0.133426,11679288
6/21/2021,0.133318,0.134522,0.110042,0.113223,0.113223,13444741
6/22/2021,0.113211,0.132921,0.105391,0.125027,0.125027,27189136
6/23/2021,0.125022,0.136422,0.11973,0.128087,0.128087,19170540
6/24/2021,0.133616,0.134593,0.123089,0.129309,0.129309,10489850
6/25/2021,0.129222,0.131625,0.119548,0.123293,0.123293,10359744
6/26/2021,0.123285,0.131547,0.119118,0.131547,0.131547,11724306
6/27/2021,0.131441,0.135077,0.12518,0.134396,0.134396,12602836
6/28/2021,0.134882,0.13682,0.128144,0.132809,0.132809,13296070
6/29/2021,0.132499,0.138005,0.132283,0.133221,0.133221,15704437
6/30/2021,0.132909,0.135141,0.12555,0.13374,0.13374,16328033
7/1/2021,0.133444,0.133444,0.127344,0.131643,0.131643,13546085
