Date,Open,High,Low,Close,Adj Close,Volume
10/29/2021,4.230345,5.994861,3.849981,4.560045,4.560045,32313216
10/30/2021,4.60022,6.07913,2.949821,4.804294,4.804294,43363910
10/31/2021,4.838128,4.976399,3.465826,4.513482,4.513482,17259687
11/1/2021,4.498929,4.63381,4.237333,4.335577,4.335577,10703582
11/2/2021,4.328104,5.541311,4.292174,4.919458,4.919458,17054479
11/3/2021,4.919527,7.738323,4.894425,6.732525,6.732525,38447630
11/4/2021,6.721268,7.098137,5.846535,6.620472,6.620472,17500326
11/5/2021,6.63355,6.831339,4.991028,5.197532,5.197532,16436100
11/6/2021,5.201464,5.626939,4.906795,5.169653,5.169653,12014059
11/7/2021,5.170575,5.560467,5.008589,5.106509,5.106509,9012574
11/8/2021,5.083297,5.234893,4.51939,4.778142,4.778142,12653910
11/9/2021,4.776936,4.980233,4.037222,4.357411,4.357411,17569887
11/10/2021,4.382534,5.360787,4.069431,4.557916,4.557916,19867806
11/11/2021,4.558264,5.529014,4.540111,5.155802,5.155802,23464323
11/12/2021,5.152691,5.248116,4.318301,4.589409,4.589409,15944230
11/13/2021,4.594093,4.722351,4.374525,4.514817,4.514817,10484615
11/14/2021,4.514377,4.770985,4.444638,4.516313,4.516313,7860672
11/15/2021,4.516834,5.142507,4.472702,4.583017,4.583017,14839288
11/16/2021,4.594837,5.794914,4.039417,4.118639,4.118639,14355838
11/17/2021,4.119031,4.602965,4.067789,4.521994,4.521994,10844922
11/18/2021,4.515188,4.721164,4.040971,4.210286,4.210286,14225171
11/19/2021,4.210497,4.525954,4.135915,4.424657,4.424657,12246261
11/20/2021,4.423908,6.190682,4.417512,6.006258,6.006258,31662402
11/21/2021,6.001347,6.192782,5.117182,5.327429,5.327429,29164855
11/22/2021,5.327727,5.327727,4.803252,4.951775,4.951775,14522718
11/23/2021,4.95163,5.282563,4.834255,5.055055,5.055055,12590532
11/24/2021,5.052866,5.7258,5.034335,5.080851,5.080851,13927285
11/25/2021,5.704402,6.347575,5.447928,6.047947,6.047947,25162123
11/26/2021,5.966541,6.481164,4.920597,5.101092,5.101092,33594584
11/27/2021,5.113138,5.385509,5.031102,5.140132,5.140132,12695525
11/28/2021,5.138825,5.284758,4.606007,5.283091,5.283091,13259304
11/29/2021,5.283087,6.116949,5.283087,6.028014,6.028014,21181413
11/30/2021,6.034065,7.198931,5.574035,6.646557,6.646557,28004721
12/1/2021,6.643774,7.213884,6.116944,6.315583,6.315583,27479199
12/2/2021,6.327753,6.645223,5.805598,6.261654,6.261654,22410448
12/3/2021,6.266791,6.384731,5.021532,5.35241,5.35241,20483891
12/4/2021,5.352686,5.352686,3.430434,4.89426,4.89426,26728697
12/5/2021,4.893366,4.902292,3.821937,4.128533,4.128533,15859202
12/6/2021,4.126891,4.376927,3.312868,4.122374,4.122374,18057002
12/7/2021,4.124282,4.421441,3.963163,4.22532,4.22532,13656941
12/8/2021,4.221644,5.826242,4.184251,5.634535,5.634535,27244598
12/9/2021,5.625956,5.625956,4.756003,4.873055,4.873055,28158046
12/10/2021,4.871364,8.825234,4.870538,7.258732,7.258732,146483341
12/11/2021,7.28935,8.23958,6.716866,6.898496,6.898496,88648189
12/12/2021,6.896955,7.080875,6.024028,6.716218,6.716218,44199849
12/13/2021,6.717163,6.736213,4.984216,5.483677,5.483677,36759362
12/14/2021,5.467458,5.467458,4.482056,4.716747,4.716747,30630120
12/15/2021,5.347686,6.616096,4.895511,6.22355,6.22355,50468201
12/16/2021,6.202903,7.450371,6.010217,6.660869,6.660869,69477973
12/17/2021,6.661964,7.460159,5.793932,6.071016,6.071016,56409743
12/18/2021,6.070422,6.581338,5.757553,6.237959,6.237959,28225609
12/19/2021,6.240815,6.558973,5.57791,5.715447,5.715447,21031017
12/20/2021,5.715478,6.120545,5.241522,5.787036,5.787036,27277866
12/21/2021,5.778053,6.036881,5.54067,5.675371,5.675371,19842419
12/22/2021,5.674369,5.951712,5.413905,5.452994,5.452994,23976129
12/23/2021,5.46217,6.183689,5.429484,5.945522,5.945522,31957738
12/24/2021,5.942709,5.985826,5.506874,5.514562,5.514562,20120467
12/25/2021,5.515725,5.518351,5.14383,5.26921,5.26921,19090153
12/26/2021,5.273576,5.278135,4.925684,5.23624,5.23624,19628273
12/27/2021,5.231006,5.240667,5.004701,5.0599,5.0599,15867232
12/28/2021,5.059729,5.087454,4.387614,4.510386,4.510386,18930040
12/29/2021,4.509786,4.889588,4.303772,4.326688,4.326688,23451464
12/30/2021,4.318732,4.660383,4.213814,4.339557,4.339557,15610698
12/31/2021,4.340653,4.56069,4.24102,4.338388,4.338388,16281221
1/1/2022,4.338185,4.604987,4.301545,4.375356,4.375356,14155442
1/2/2022,4.375206,4.445159,4.315897,4.36124,4.36124,10015704
1/3/2022,4.359512,4.603924,4.050007,4.167391,4.167391,18301847
1/4/2022,4.165442,4.197544,3.873737,3.898122,3.898122,13601002
1/5/2022,3.89779,4.162612,3.357193,3.710995,3.710995,22556990
1/6/2022,3.708963,3.708963,3.358264,3.489689,3.489689,18440643
1/7/2022,3.489702,3.494472,3.065925,3.072625,3.072625,17145511
1/8/2022,3.072742,3.385903,2.918703,3.064153,3.064153,20522311
1/9/2022,3.06282,4.072242,2.994785,3.677787,3.677787,32387396
1/10/2022,3.678934,3.929629,3.038826,3.12768,3.12768,29574699
1/11/2022,3.12896,3.286953,2.613067,2.919261,2.919261,54331908
1/12/2022,2.919429,3.06251,2.701817,3.02382,3.02382,31434029
1/13/2022,3.023423,3.023423,2.692195,2.798504,2.798504,20365636
1/14/2022,2.799314,3.011247,2.765539,2.93355,2.93355,18895441
1/15/2022,2.933584,3.419835,2.923721,3.266809,3.266809,29001583
1/16/2022,3.268026,3.405083,3.181574,3.312138,3.312138,22626873
1/17/2022,3.312114,3.382466,3.069051,3.36025,3.36025,22703426
1/18/2022,3.360848,3.464378,3.135728,3.245176,3.245176,18942404
1/19/2022,3.245201,3.324863,3.035255,3.109561,3.109561,11287575
1/20/2022,3.10787,3.159344,2.793287,2.794391,2.794391,6598008
1/21/2022,2.79449,2.834578,2.13698,2.263978,2.263978,21483759
1/22/2022,2.27381,2.394747,1.964473,2.110636,2.110636,19411409
1/23/2022,2.110912,2.834625,2.01525,2.574681,2.574681,16786184
1/24/2022,2.573348,2.796518,2.167062,2.607476,2.607476,26155695
1/25/2022,2.607504,2.676345,2.335802,2.370279,2.370279,11698200
1/26/2022,2.370454,2.610942,2.176115,2.317872,2.317872,14319784
1/27/2022,2.316621,2.360732,2.134604,2.224657,2.224657,12235589
1/28/2022,2.226013,2.264687,2.149874,2.257734,2.257734,10157903
1/29/2022,2.257402,2.340812,2.233641,2.338224,2.338224,22005873
1/30/2022,2.339838,2.390255,2.081972,2.132102,2.132102,12220834
1/31/2022,2.132234,2.210828,2.05515,2.139089,2.139089,13894993
2/1/2022,2.140064,2.248834,2.072455,2.094815,2.094815,7177144
2/2/2022,2.094066,2.477808,2.080684,2.167424,2.167424,13278459
2/3/2022,2.167351,2.55241,2.153209,2.252925,2.252925,19728390
2/4/2022,2.253011,2.32277,2.203379,2.290927,2.290927,7737460
2/5/2022,2.291077,2.456342,2.262854,2.304139,2.304139,10006907
2/6/2022,2.304201,2.453029,2.254573,2.321435,2.321435,10476709
2/7/2022,2.321042,2.543586,2.275508,2.386145,2.386145,10161750
2/8/2022,2.387608,2.566766,2.115732,2.248616,2.248616,11459844
2/9/2022,2.248175,2.318462,2.140903,2.206763,2.206763,9069832
2/10/2022,2.206764,2.252473,2.030755,2.06386,2.06386,8510405
2/11/2022,2.063565,2.187064,1.912546,1.9784,1.9784,12424581
2/12/2022,1.980175,2.019569,1.920764,1.923751,1.923751,7461423
2/13/2022,1.92338,1.992702,1.856288,1.895924,1.895924,6739533
2/14/2022,1.895757,1.899548,1.753305,1.829609,1.829609,8973216
2/15/2022,1.829691,1.984121,1.792279,1.983591,1.983591,8753929
2/16/2022,1.983473,1.983473,1.800473,1.856114,1.856114,7598447
2/17/2022,1.856497,1.873281,1.645479,1.652182,1.652182,7673010
2/18/2022,1.652301,1.726714,1.578621,1.610552,1.610552,8305174
2/19/2022,1.610208,1.639872,1.509793,1.558032,1.558032,6715851
2/20/2022,1.55857,1.576195,1.420257,1.446489,1.446489,6842068
2/21/2022,1.446378,1.56216,1.246697,1.249694,1.249694,6735991
2/22/2022,1.249482,1.338744,1.211568,1.313541,1.313541,10921657
2/23/2022,1.313176,1.35404,1.188451,1.188451,1.188451,6661477
2/24/2022,1.187581,1.258142,1.018723,1.123255,1.123255,19969936
2/25/2022,1.123243,1.203239,1.120191,1.199547,1.199547,8683486
2/26/2022,1.19985,1.302944,1.16338,1.240236,1.240236,8934019
