Date,Open,High,Low,Close,Adj Close,Volume
5/4/2021,1.404469,1.404744,1.241951,1.271748,1.271748,270875268
5/5/2021,1.266501,1.423072,1.257392,1.418965,1.418965,233397383
5/6/2021,1.418569,1.567796,1.35121,1.567796,1.567796,365456315
5/7/2021,1.5699,1.601806,1.415167,1.464422,1.464422,410015344
5/8/2021,1.465188,1.512742,1.415179,1.44147,1.44147,171379125
5/9/2021,1.443069,1.517057,1.359701,1.490395,1.490395,234970457
5/10/2021,1.488652,1.510579,1.240363,1.328732,1.328732,304912888
5/11/2021,1.329538,1.430874,1.305055,1.429343,1.429343,191133488
5/12/2021,1.429866,1.450533,1.216514,1.216514,1.216514,167997869
5/13/2021,1.22842,1.316386,1.164815,1.255737,1.255737,238519450
5/14/2021,1.251734,1.327542,1.241651,1.292764,1.292764,150062083
5/15/2021,1.292672,1.308402,1.200259,1.202266,1.202266,175658205
5/16/2021,1.201104,1.288032,1.10125,1.1796,1.1796,182180268
5/17/2021,1.179991,1.179991,1.014448,1.061845,1.061845,238911304
5/18/2021,1.059326,1.260444,1.051947,1.126573,1.126573,262083531
5/19/2021,1.126175,1.161619,0.50514,0.780321,0.780321,462798751
5/20/2021,0.773326,1.008933,0.688823,0.957015,0.957015,327249696
5/21/2021,0.957902,1.004121,0.702829,0.817255,0.817255,219396168
5/22/2021,0.818396,0.824308,0.699955,0.757636,0.757636,151567431
5/23/2021,0.758519,0.798956,0.491848,0.624548,0.624548,207790644
5/24/2021,0.621843,0.783448,0.590384,0.776767,0.776767,228589839
5/25/2021,0.779116,0.845262,0.721355,0.785971,0.785971,168923072
5/26/2021,0.787114,1.010215,0.763689,1.00727,1.00727,307774880
5/27/2021,1.007,1.010594,0.858786,0.895462,0.895462,204563425
5/28/2021,0.898362,0.944552,0.774096,0.816419,0.816419,147717266
5/29/2021,0.813873,0.843557,0.696678,0.747404,0.747404,107452062
5/30/2021,0.747261,0.831482,0.694547,0.781807,0.781807,99117130
5/31/2021,0.781745,0.856966,0.7413,0.850733,0.850733,97203994
